"Title","Author","Description","Tags","Category","Product","Service","How To Investigate","Known False Positives","Query"
"Auditing Configuration Changes on Linux Host","Mikhail Larin, oscd.community","Detect changes in auditd configuration files","attack.defense_evasion, attack.t1562.006","Not classified","linux","auditd","Review the logs from the auditd service on the Linux host. 
Look for any changes in the specified configuration files (/etc/audit/*, /etc/libaudit.conf, /etc/audisp/*). 
Check if the changes were made by legitimate administrative activity. 
Compare the changes with a known baseline or approved changes. 
If the changes are not expected or authorized, investigate further to determine if they are malicious or unauthorized.","Legitimate administrative activity","type=""PATH"" name IN (""/etc/audit/*"", ""/etc/libaudit.conf"", ""/etc/audisp/*"")"
"Binary Padding - Linux","Igor Fits, oscd.community","Adversaries may use binary padding to add junk data and change the on-disk representation of malware.
This rule detect using dd and truncate to add a junk data to file.
","attack.defense_evasion, attack.t1027.001","Not classified","linux","auditd","Review the command-line arguments and parameters of the executed processes to determine if the use of dd or truncate is legitimate or suspicious. 
Check for any unusual or unexpected file modifications or changes made by the dd or truncate commands. 
Correlate the activity with other security events or indicators of compromise (IOCs) to identify any malicious behavior. 
Consult with system administrators or other relevant personnel to verify the purpose and intent of the executed commands. 
Monitor for any subsequent suspicious or malicious activities that may be related to the use of dd or truncate.","Legitimate use of dd or truncate commands for non-malicious purposes, such as file manipulation or disk space management.","type=""EXECVE"" (""truncate"" ""-s"") OR (""dd"" ""if="" NOT ""of="")"
"BPFDoor Abnormal Process ID or Lock File Accessed","Rafal Piasecki","detects BPFDoor .lock and .pid files access in temporary file storage facility","attack.execution, attack.t1106, attack.t1059","Not classified","linux","auditd","Review the logs from the auditd service on the Linux system 
Look for events related to file access on the specified paths 
Check if the access to the .lock and .pid files is performed by expected processes 
Compare the timestamps of the access events with the normal behavior of the system 
Correlate the events with other suspicious activities or indicators of compromise","Processes legitimately accessing the specified files for normal operations","type=""PATH"" name IN (""/var/run/haldrund.pid"", ""/var/run/xinetd.lock"", ""/var/run/kdevrund.pid"")"
"Possible Coin Miner CPU Priority Param","Florian Roth (Nextron Systems)","Detects command line parameter very often used with coin miners","attack.privilege_escalation, attack.t1068","Not classified","linux","auditd","Check the command line parameters of processes for the presence of --cpu-priority flag. 
Review the process execution logs or audit logs from the log source (e.g., auditd) for any suspicious processes with the --cpu-priority flag. 
Cross-reference the identified processes with known legitimate applications or tools that use the --cpu-priority flag as a false positive mitigation. 
Investigate any processes with the --cpu-priority flag that are not expected or authorized in the environment. 
Monitor the resource usage of the processes with the --cpu-priority flag to identify any abnormal or excessive CPU consumption. 
Consider analyzing network traffic from the suspicious processes to identify any communication with known coin mining infrastructure or suspicious domains.","Other tools that use a --cpu-priority flag","a1=""--cpu-priority*"" OR a2=""--cpu-priority*"" OR a3=""--cpu-priority*"" OR a4=""--cpu-priority*"" OR a5=""--cpu-priority*"" OR a6=""--cpu-priority*"" OR a7=""--cpu-priority*"""
"Disable System Firewall","Pawel Mazur","Detects disabling of system firewalls which could be used by adversaries to bypass controls that limit usage of the network.","attack.t1562.004, attack.defense_evasion","Not classified","linux","auditd","Check the logs from the auditd service on the Linux system. 
Look for events indicating the stopping of the firewalld, iptables, or ufw services. 
Review any associated command-line activity or process information in the logs. 
Correlate with other security events or alerts to identify any suspicious or malicious activity.","Admin activity","type=""SERVICE_STOP"" unit IN (""firewalld"", ""iptables"", ""ufw"")"
"Credentials In Files - Linux","Igor Fits, oscd.community","Detecting attempts to extract passwords with grep","attack.credential_access, attack.t1552.001","Not classified","linux","auditd","Review the command line arguments of the executed process to determine if the grep command was used with malicious intent. 
Check the files that were searched by the grep command to see if any sensitive information, such as passwords, were accessed. 
Correlate the event with other security events or indicators of compromise to identify any malicious activity. 
Review the user account associated with the executed process to determine if it is a privileged account or if it has a history of suspicious activity.","Legitimate use of grep command to search for specific strings in files","type=""EXECVE"" ""grep"" ""password"""
"Linux Keylogging with Pam.d","Pawel Mazur","Detect attempt to enable auditing of TTY input","attack.credential_access, attack.t1003, attack.t1056.001","Not classified","linux","auditd","Check the audit logs for events related to the modification of the /etc/pam.d/system-auth and /etc/pam.d/password-auth files. 
Look for TTY and USER_TTY events in the audit logs. 
Verify if any legitimate administrative work or configuration changes were performed during the time of the detection. 
Cross-reference the detected events with other security controls or logs to validate the presence of keylogging activity. 
If possible, analyze the contents of the modified PAM configuration files to identify any suspicious or unauthorized changes.","Administrative work","(type=""PATH"" name IN (""/etc/pam.d/system-auth"", ""/etc/pam.d/password-auth"")) OR type IN (""TTY"", ""USER_TTY"")"
"Modification of ld.so.preload","E.M. Anhaus (originally from Atomic Blue Detections, Tony Lambert), oscd.community","Identifies modification of ld.so.preload for shared object injection. This technique is used by attackers to load arbitrary code into processes.","attack.defense_evasion, attack.t1574.006","Not classified","linux","auditd","Review the contents of the ld.so.preload file to determine if any unauthorized modifications have been made. 
Check for any suspicious or unexpected entries in the ld.so.preload file. 
Monitor for any processes loading shared objects that are not typically associated with the ld.so.preload file. 
Correlate the detection with other security events or indicators of compromise to identify any potential malicious activity. 
Consult system administrators or authorized users to confirm if any legitimate changes were made to the ld.so.preload file.","Legitimate changes to the ld.so.preload file made by system administrators or authorized users.","type=""PATH"" name=""/etc/ld.so.preload"""
"Loading of Kernel Module via Insmod","Pawel Mazur","Detects loading of kernel modules with insmod command.
Loadable Kernel Modules (LKMs) are pieces of code that can be loaded and unloaded into the kernel upon demand.
Adversaries may use LKMs to obtain persistence within the system or elevate the privileges.
","attack.persistence, attack.privilege_escalation, attack.t1547.006","Not classified","linux","auditd","Review audit logs from the Linux audit subsystem (auditd) for SYSCALL events with the insmod command and /usr/bin/kmod as the executing binary (exe). 
Check if the insmod command was executed by a privileged user or a non-privileged user. 
Verify if the loaded kernel module is authorized and expected on the system. 
Cross-reference the event with other security logs to identify any suspicious or malicious activities associated with the kernel module loading.","Legitimate use of insmod for authorized kernel module loading.","type=""SYSCALL"" comm=""insmod"" exe=""/usr/bin/kmod"""
"Logging Configuration Changes on Linux Host","Mikhail Larin, oscd.community","Detect changes of syslog daemons configuration files","attack.defense_evasion, attack.t1562.006","Not classified","linux","auditd","Check for legitimate administrative activity in the logs. Look for authorized users or system administrators making changes to the syslog daemon configuration files. Examples of log sources to investigate include 
Audit logs from the Linux host (e.g., /var/log/audit/audit.log) 
Syslog logs from the Linux host (e.g., /var/log/syslog)","Legitimate administrative activity","type=""PATH"" name IN (""/etc/syslog.conf"", ""/etc/rsyslog.conf"", ""/etc/syslog-ng/syslog-ng.conf"")"
