"Title","Author","Description","Tags","Category","Product","Service","How To Investigate","Known False Positives","Query"
"Azure Subscription Permission Elevation Via ActivityLogs","Austin Songer @austinsonger","Detects when a user has been elevated to manage all Azure Subscriptions.
This change should be investigated immediately if it isn't planned.
This setting could allow an attacker access to Azure subscriptions in your environment.
","attack.initial_access, attack.t1078.004","Not classified","azure","activitylogs","Check with the system administrator or relevant team if the elevation of permissions was planned. 
Review change management records to verify if the elevation was part of an approved change. 
Correlate with other security events to determine if there are any indicators of compromise associated with the permission elevation. 
Investigate the user account that performed the elevation for any signs of compromise or unauthorized access.","Legitimate elevation of permissions by authorized personnel. 
Scheduled maintenance activities. 
Changes made by a trusted automated process.","operationName=""MICROSOFT.AUTHORIZATION/ELEVATEACCESS/ACTION"""
"Account Created And Deleted Within A Close Time Frame","Mark Morowczynski '@markmorow', MikeDuddington, '@dudders1', Tim Shelton","Detects when an account was created and deleted in a short period of time.","attack.defense_evasion, attack.t1078","Not classified","azure","auditlogs","Check if the account creation and deletion were part of a scheduled or documented process 
Review the account creation and deletion timestamps to determine the time frame between the two events 
Correlate the account creation and deletion events with additional logs or data sources to identify any suspicious activities 
Investigate the user accounts involved in the creation and deletion for any signs of compromise or unauthorized access","Legitimate account provisioning and deprovisioning processes 
Automated account creation and deletion scripts 
Testing or development environments where accounts are frequently created and deleted 
Third-party applications that manage user accounts","properties.message IN (""Add user"", ""Delete user"") Status=""Success"""
"Changes to Device Registration Policy","Michael Epping, '@mepples21'","Monitor and alert for changes to the device registration policy.","attack.defense_evasion, attack.privilege_escalation, attack.t1484","Not classified","azure","auditlogs","Review the details of the policy change event to determine the user or entity that initiated the change 
Cross-reference the timestamp of the policy change with authorized change management records 
Check if the policy change aligns with any ongoing IT projects or initiatives 
Investigate if the policy change was part of a known security configuration update","Legitimate changes to device registration policies by authorized administrators 
Changes made during scheduled maintenance windows 
Changes made by automated scripts or tools","Category=""Policy"" ActivityDisplayName=""Set device registration policies"""
"Users Added to Global or Device Admin Roles","Michael Epping, '@mepples21'","Monitor and alert for users added to device admin roles.","attack.defense_evasion, attack.privilege_escalation, attack.t1078.004","Not classified","azure","auditlogs","Review the user accounts that were added to the admin roles to determine if they are legitimate. 
Check if the role changes were performed by authorized personnel or automated processes. 
Correlate the timing of the role changes with any scheduled maintenance activities. 
Investigate if there are any known issues or bugs in the logging mechanism that could lead to false positives.","Legitimate role changes by authorized administrators. 
Automated role assignments by scripts or applications. 
Role changes during scheduled maintenance windows.","Category=""RoleManagement"" OperationName=""*Add*"" OperationName=""*member to role*"" TargetResources IN (""*7698a772-787b-4ac8-901f-60d6b08affd2*"", ""*62e90394-69f5-4237-9190-012177145e10*"")"
"Application AppID Uri Configuration Changes","Mark Morowczynski '@markmorow', Bailey Bercik '@baileybercik'","Detects when a configuration change is made to an applications AppID URI.","attack.persistence, attack.credential_access, attack.privilege_escalation, attack.t1552, attack.t1078.004","Not classified","azure","auditlogs","Review the audit logs for details of the user who made the configuration change. 
Check if the change aligns with any scheduled maintenance activities. 
Verify if the change was authorized by cross-referencing with change management records. 
Investigate if the change was part of a known service principal update process.","Planned changes to AppID URI configurations by authorized administrators. 
Routine updates to service principals that involve AppID URI modifications. 
Changes made during scheduled maintenance windows.","properties.message IN (""Update Application"", ""Update Service principal"")"
"Added Credentials to Existing Application","Mark Morowczynski '@markmorow', Bailey Bercik '@baileybercik'","Detects when a new credential is added to an existing application. Any additional credentials added outside of expected processes could be a malicious actor using those credentials.","attack.t1098.001, attack.persistence","Not classified","azure","auditlogs","Review the timestamp of the credential addition to check if it aligns with known maintenance schedules 
Check if the added credential matches a pattern of automated updates from trusted systems 
Verify the user or system account responsible for the credential addition against authorized personnel or systems 
Correlate with other security events to determine if the credential addition is part of a larger attack pattern","Scheduled credential rotations 
Automated credential updates by trusted systems 
Manual updates by authorized personnel during maintenance windows","properties.message IN (""Update Application-Certificates and secrets management"", ""Update Service principal/Update Application"")"
"Delegated Permissions Granted For All Users","Bailey Bercik '@baileybercik', Mark Morowczynski '@markmorow'","Detects when highly privileged delegated permissions are granted on behalf of all users","attack.credential_access, attack.t1528","Not classified","azure","auditlogs","Review the details of the permission grant to understand the scope and impact 
Check if the permission was granted by authorized personnel 
Verify if the permission aligns with any documented change control processes 
Investigate if the permission grant was part of a scheduled maintenance activity","Legitimate delegation for specific business requirements 
Routine permissions granted during application setup 
Permissions granted by trusted administrators","properties.message=""Add delegated permission grant"""
"App Granted Microsoft Permissions","Bailey Bercik '@baileybercik', Mark Morowczynski '@markmorow'","Detects when an application is granted delegated or app role permissions for Microsoft Graph, Exchange, Sharepoint, or Azure AD","attack.credential_access, attack.t1528","Not classified","azure","auditlogs","Review the application documentation to confirm the necessity of the permissions 
Check with the application owners or developers for justification of the permissions 
Compare the permissions granted with the expected permissions for the application 
Monitor for any unusual or unexpected behavior after the permissions were granted","Regular permission changes for legitimate application updates 
Permissions granted by authorized administrators 
Permissions granted during initial application setup","properties.message IN (""Add delegated permission grant"", ""Add app role assignment to service principal"")"
"App Granted Privileged Delegated Or App Permissions","Bailey Bercik '@baileybercik', Mark Morowczynski '@markmorow'","Detects when administrator grants either application permissions (app roles) or highly privileged delegated permissions","attack.persistence, attack.privilege_escalation, attack.t1098.003","Not classified","azure","auditlogs","Review the details of the app role assignment or delegated permission change in the Azure audit logs 
Check if the permission change aligns with any scheduled maintenance or known operational activities 
Verify the authorization and justification provided for the permission change with the responsible personnel 
Investigate if there are any associated tickets or change management records for the permission change","Routine app permission changes during legitimate maintenance activities 
Temporary elevation of permissions for specific tasks 
Changes made by authorized personnel during troubleshooting","properties.message=""Add app role assignment to service principal"""
"Application URI Configuration Changes","Mark Morowczynski '@markmorow', Bailey Bercik '@baileybercik'","Detects when a configuration change is made to an applications URI.
URIs for domain names that no longer exist (dangling URIs), not using HTTPS, wildcards at the end of the domain, URIs that are no unique to that app, or URIs that point to domains you do not control should be investigated.
","attack.t1528, attack.t1078.004, attack.persistence, attack.credential_access, attack.privilege_escalation","Not classified","azure","auditlogs","Review the details of the URI configuration change in the Azure audit logs to understand the nature of the change. 
Check if the change was part of a planned maintenance window or authorized activity. 
Verify if the URI change aligns with any documented change management processes. 
Investigate if the URI change introduces any security risks or violates organizational policies.","Scheduled maintenance activities that involve URI changes. 
Automated scripts or tools that update URIs based on predefined rules. 
Changes made by authorized third-party vendors with proper documentation.","properties.message=""Update Application Sucess- Property Name AppAddress"""
